MedCode,MedDescription,MedFamily
3300133,AVODART 0.5MG C/30 COMPRIMIDOS(DUTASTERIDA) GLAXO,Sistema genitourinario y hormonas sexuales
3300135,CAFIASPIRINA FORTE C/24 TABS. ACIDO ACETILSALICILICO/CAFEINA,Sistema nervioso
3300136,CEDAX 400MG C/10 TABS. CEFTIBUTEN,Antiinfecciosos para uso sistémico
3300139,CORPOTASIN LP 1500MG C/30 TABS.-CLORURO DE POTASIO,Tracto alimentario y metabolismo
3300140,ZYPREXA IM 10MG AMP 2ML (OLANZAPINA),Sistema nervioso
3300141,ARCALION 200MG C/20 COMPRIMIDOS SULBUTIAMINA,Tracto alimentario y metabolismo
3300142,LIPITOR 80MG C/30 TAB(ATORVASTATINA),Sistema cardiovascular
3300143,XELODA 500MG C/120 GRAGEAS CAPECITABINA,Antineoplásicos e inmunomoduladores
3300147,TEGRETOL 200MG C/30 CPR(CARBAMAZEPINA),Sistema nervioso
3300150,ZOLADEX 10.8MG JPREL IMPLANTE AMP C/1 GOSERELINA,Antineoplásicos e inmunomoduladores
3300153,COMBIGAN-D SOL. 0.2%/0.5% 5ML(BRIMONIDINA/TIMOLOL),Órganos de los sentidos
3300157,AKATINOL 10MG C/28 TABS(MEMANTINA),Sistema nervioso
3300159,DOLOCARTIGEN 50MG/15MG C/30 CAPS. (MELOXICAM/DIACEREMNA),Sistema musculoesquelético
3300160,TAFIROL AC 500/50MG C/15 TAB (PARACETAMOL/DICLOFENACO),Sistema nervioso
3300161,ARBISTIN 7.5G JBE 150ML ADULTO CARBOCISTEINA,Sistema respiratorio
3300165,URO-VAXOM 6MG C/30 CAPS. EXTRACTO BACTERIANO LIOFOLIZADO,Antineoplásicos e inmunomoduladores
3300166,INSPRA IC 25MG C/30 TAB EPLERENONA,Sistema cardiovascular
3300167,DALACIN V CREMA 40G 2%(CLINDAMICINA),Antiinfecciosos para uso sistémico
3300170,DIMEGAN D 0.5/2MG PED SOL C/60ML C/PIPE(LORATADINA/FENILEFRI,Sistema respiratorio
3300173,CICLOFERON COLOR PIEL TUBO 2G ACICLOVIR,Antiinfecciosos para uso sistémico
3300174,PROSGUTT 160/120MG C/40 CAPSSERENOA REPENS/URTICA DIOICA,Sistema genitourinario y hormonas sexuales
3300175,CYMBALTA 30MG C/7 CAPSULAS(DULOXETINA),Sistema nervioso
3300181,EUTIROX 150MCG C/50 TAB(LEVOTIROXINA SODICA),"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3300182,ZYPREXA ZYDIS 10MG C/14 TABS (OLANZAPINA),Sistema nervioso
3300184,VOLTAREN PARCHES C/5 DICLOFENACO,Sistema musculoesquelético
3300186,SERC 16MG C/20 TAB (BETAHISTINA),Sistema nervioso
3300187,SOYALOID A PRURI LOC FCO 120ML. HARINA DE SOYA/PRAMOXIMA/ZIN,Dermatológicos
3300188,TRADOL (TRAMADOL) 50MG/ML AMP,Sistema nervioso
3300190,ANGIOTROFIN RETARD 240MG C/10 TABS (DILTIAZEM),Sistema cardiovascular
3300195,SIBELIUM 5MG C/60 CAPS FLUNARIZINA,Sistema nervioso
3300205,ATACAND 16MG C/14 TABS(CANDESARTAN CILEXETILO),Sistema cardiovascular
3300214,TRITAZIDE 2.5/12.5MG C/16 TABS(RAMIPRIL/HIDROCLOROTIAZIDA),Sistema cardiovascular
3300219,SERETIDE EVOHALER 25/250M AER FCODOSISSALMETEROL/FLUTICASONA,No encontrado
3300234,DIMEGAN D 5/20MG C/20 CAPS(LORATADINA/FENILEFRINA),Sistema respiratorio
3300237,HAVRIX AD 1440 1 JER (ANTMGENO DE HEPATITIS A),No encontrado
3300238,ENGERIX-B ADULTO JER (ANTMGENO DE HEPATITIS B),Antiinfecciosos para uso sistémico
3300244,FOSAMAX PLUS 70MG/5600UI COMP (ALENDRONICO/COLECACIFERO),No encontrado
3300251,"VARTALON COMP 1500/1200MG C/15 SOB(GLUCOSAMINA,CONDROITIN)",Sistema musculoesquelético
3300255,SERETIDE EVOHALER 25/125MG AER FCODOSISSALMETEROL/FLUTICASON,No encontrado
3300262,SEROQUEL 25MG C/30 TABS QUETIAPINA,Sistema nervioso
3300265,ZOVIRAX 5GR/100 CREMA 10GR TUBO(ACICLOVIR),Antiinfecciosos para uso sistémico
3300266,TECTA 40MG C/14 TABS (PANTOPRAZOL),Tracto alimentario y metabolismo
3300268,NEXUS 5MG C/30 CAPS (AMLODIPINO),Sistema cardiovascular
3300271,CEDAX 36MG 60ML SUSP CEFTIBUTEN,Antiinfecciosos para uso sistémico
3300280,SINERGIX 25/10MG C/4 SUBLINGUAL(TRAMADOL/KETOROLACO),Sistema nervioso
3300288,BINOTAL (AMPICILINA) 250 MG/ 5 ML SUSP 90 ML,Antiinfecciosos para uso sistémico
3300289,HISTIACIL NF ADULTO JARABE 150MLDEXTROMETORFANO/AMBROXOL),Sistema respiratorio
3300291,"PEPSANE 3G/4MG OGEL ORAL C/14 SOBRES(DIMETICONA,GUAIAZULENE)",Tracto alimentario y metabolismo
3300293,PK MERZ 100MG C/30 TABS AMANTADINA,No encontrado
3300295,CLENDIX 300MG C/21 CAPS(CLINDAMICINA),Antiinfecciosos para uso sistémico
3300298,VIAGRA 50MG C/1 TAB( SILDENAFIL),Sistema genitourinario y hormonas sexuales
3300300,JANUVIA 100MG C/28 TABS(SITAGLIPTINA),Tracto alimentario y metabolismo
3300301,VIAGRA 50MG C/4 TABS(SILDENAFIL),Sistema genitourinario y hormonas sexuales
3300315,BREDELIN 500MG AMP 100ML (LEVOFLOXACINO),Antiinfecciosos para uso sistémico
3300321,CONTROLIP 160MG C/15 CAPS (FENOFIBRATO),Sistema cardiovascular
3300322,JANUMET 50/1000MG C/56 COMP(SITAGLIPTINA/METFORMINA),Tracto alimentario y metabolismo
3300323,JANUMET 50/500MG C/28 TABS(SITAGLIPTINA/METFORMINA),Tracto alimentario y metabolismo
3300328,TOPAMAX 50MG C/20 TAB(TOPIRAMATO),No encontrado
3300329,VOLTAREN 50 50MG C/30 GRAGEAS (DICLOFENACO),Sistema musculoesquelético
3300336,PROSURE VAINILLA 250ML,Varios
3300337,LIPIDIL 200MG C/28 CAP FENOFIBRATO,Sistema cardiovascular
3300339,PARAMIX 1.2G SUSP 60ML(NITAZOXANIDA),"Antiparasitarios, insecticidas y repelentes"
3300342,NEVANAC 1.0MG GOTAS 5ML,Órganos de los sentidos
3300348,BREDELIN 500MG C/7 TAB (LEVOFLOXACINO) SENOSIAIN,Antiinfecciosos para uso sistémico
3300351,ISENTRESS 400MG COMP RECUBIERTOS,Antiinfecciosos para uso sistémico
3300353,PEPSANE C/30 CAP DIMETICONA/GUAIAZULENE,Tracto alimentario y metabolismo
3300354,FLAGENASE 400MG SUSP PED 120ML(METRONIDAZOL),"Antiparasitarios, insecticidas y repelentes"
3300358,CONCOR 10MG C/30 GRAG(BISOPROLOL),Sistema cardiovascular
3300365,SINTROM 4MG C/30 TAB ACENOCUMAROL,No encontrado
3300367,CONCOR 1.25MG C/30 GRAG(BISOPROLOL),Sistema cardiovascular
3300371,BREDELIN 750MG C/7 TAB(LEVOFLOXACINO) SENOSIAIN,Antiinfecciosos para uso sistémico
3300373,VYTORIN 10/40MG C/14 CPR(EZETIMIBA/SIMVASTATINA),No encontrado
3300377,CEFTREX IM 1GR AMP 10ML (CEFTRIAXONA),Antiinfecciosos para uso sistémico
3300378,LIBERTRIM SDP SUSP 30ML FCO(TRIMEBUTINA/SIMETICONA),Tracto alimentario y metabolismo
3300379,ACTRON PLUS 400/100MG C/10 CAPS (IBUPROFENO+CAFEINA),Sistema musculoesquelético
3300386,TRANSILAX 35G/42.91G GEL 150G (LACTULOSA/PARAFINA),Tracto alimentario y metabolismo
3300391,ASOFLON 0.4MG C/30 CAP (TAMSULOSINA),Sistema genitourinario y hormonas sexuales
3300392,LEVEMIR FLEXPEN R AMP 100U/ML C/1 (INSULINA DETEMIR),No encontrado
3300393,ALMETEC 20MG C/14 TAB(OLMESARTAN),Sistema cardiovascular
3300395,EXFORGE 10/320MG C/14 CPR(AMLODIPINO/VALSARTAN),Sistema cardiovascular
3300398,PISDENO 6MG FCO AMP 2ML (ADENOSINA),Sistema cardiovascular
3300399,HUMALOG KWIKPEN JER PRELL 3ML (INSULINA LISPRO (ORIGEN ADN R,Tracto alimentario y metabolismo
3300400,XARELTO 2.5 MG COMPS. C/56 RIVAROXABAN,Sangre y órganos hematopoyéticos
3300401,CRESTOR 20MG C/30 TAB(ROSUVASTATINA),No encontrado
3300402,VESSEL DUE F 250 LRU C/50 (SULODEXIDA),Sangre y órganos hematopoyéticos
3300410,ELECTROLIT ADULTO SABORES 625ML,Tracto alimentario y metabolismo
3300418,SERETIDE DISKUS 50MCG/100MCG 60 DOSIS SALMETEROL/FLUTICASONA,No encontrado
3300427,ZOVIRAX 800MG C/35 TABLETAS DISPER.(ACICLOVIR),Antiinfecciosos para uso sistémico
3300439,EPIVAL ER 500MG C/30 TABS(VALPROATO SEMISODICO),Sistema nervioso
3300442,ALEVIAN DUO C/16 CAPS(DIMETICONA/BROMURO DE PINAVERINO),Tracto alimentario y metabolismo
3300446,KINEX 2MG C/30 TABS(BIPERIDENO),Sistema nervioso
3300451,XALATAN 50MCG OFT SOL 2.5ML REFRI,Órganos de los sentidos
3300457,EFFIENT 10MG TAB C/14(PRASUGREL),Sangre y órganos hematopoyéticos
3300462,"PRIORIX AMP 0.5ML (VACULA SARAMPION, PAROTIDITIS Y RUBEOLA)",No encontrado
3300465,"GAVINDO C/30 TAB(GABAPENTINA,TIAMINA,CIANOCOBALAMINA)",Tracto alimentario y metabolismo
3300468,CLORAMFENI OFTENO 15ML GOTAS(CLORANFENICOL),Órganos de los sentidos
3300471,SINEMET 250/25MG TABLETAS CAJA C/ 30.,Sistema nervioso
3300472,TYPHIM VI AMP 0.5ML (VACUNA ANTITIFOIDICA POLISACARIDA),Antiinfecciosos para uso sistémico
3300476,ALVESCO 100MG AERODOSIS SOLUCION(CICLESONIDA),No encontrado
3300478,ZYPREXA ZYDIS 5MG C/14 TAB(OLANZAPINA),Sistema nervioso
3300479,CARNOTPRIM 12H 15MG C/20 COMP (METOCLOPRAMIDA),Tracto alimentario y metabolismo
3300480,AVAPRO 300MG C/14 TAB(IRBESARTAN),Sistema cardiovascular
3300484,HUMYLUB OFTALMICO 15ML GOTAS(HIALURONATO DE SODIO/SULFATO DE,Órganos de los sentidos
3300489,MIMPARA 30MG C/30 TAB,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3300490,PARAMIX 500MG C/6 GRAG(NITAZOXANIDA),"Antiparasitarios, insecticidas y repelentes"
3300494,NEURALIN AMPOLLETA 1ML (COMPLEJO B/LIDOCAINA),Sistema musculoesquelético
3300496,PLANTABEN EFERV 5G C/30 SOBRES PLANTAGO OVATA,No encontrado
3300505,RAPIX RD SUBLINGUAL 30MG C/4 (KETOROLACO),Sistema musculoesquelético
3300507,"CAFIASPIRINA C/40 TABS. ACIDO ACETILSELICLLICO, CAFEINA.",Sistema nervioso
3300515,CILODEX 0.3/0.1G SUSP 5ML GOTAS(CIPROFLOXACINO/DEXAMETASONA),Órganos de los sentidos
3300517,ULSEN 40MG FCO AMP IV (OMEPRAZOL),Tracto alimentario y metabolismo
3300522,ADALAT 10MG C/30 CAP(NIFEDIPINO),No encontrado
3300524,NIMEPIS 100MG TAB C/10 (NIMESULIDA),Sistema musculoesquelético
3300525,TREDA 129/280/30MG C/20 TAB,Tracto alimentario y metabolismo
3300528,TRENTAL 400 MG C/30 LP GRAGEAS(PENTOXIFILINA),Sistema cardiovascular
3300529,TRENTAL 300MG AMP 15ML (PENTOXIFILINA),Sistema cardiovascular
3300531,PLIDAN 10MG C/20 GRAGEASPARGEVERINA/,Tracto alimentario y metabolismo
3300532,TRITACE 2.5MG C/16 TAB (RAMIPRIL),Sistema cardiovascular
3300533,TRITACE 5MG C/16 TAB (RAMIPRIL),Sistema cardiovascular
3300537,DABEX 850MG C/30 TAB (METFORMINA),Tracto alimentario y metabolismo
3300540,KEPPRA I.V. FCO AMP 500 MG/5ML (LEVETIRACETAM),Sistema nervioso
3300541,ADEROGYL 15 C/5 AMP 3ML. ERGOCALCIFEROL,Tracto alimentario y metabolismo
3300544,TROFERIT 300MG JARABE 120ML,Sistema respiratorio
3300545,TROFERIT 30MG C/15 TAB DROPROPIZINA,Sistema respiratorio
3300546,ADALAT CC 30MG C/10 TA (NIFEDIPINO),No encontrado
3300556,ADALAT RETARD 20MG C/28 CPR (NIFEDIPINO),No encontrado
3300557,URSOFALK 250MG C/50 CAPS URSODEOXICOLICO,Tracto alimentario y metabolismo
3300560,VAGITROL V C/10 OVULOS FLUCINOLONA/METRONIDAZOL/NISTATINA,Sistema genitourinario y hormonas sexuales
3300562,ADALAT OROS 30MG C/10 TAB (NIFEDIPINO),No encontrado
3300563,VARITON 500/450/50 MGC/20 GRAGEAS(DIOSMINA/HESPERIDINA),Sistema cardiovascular
3300564,"VENALOT DEPOT 180/30MG C/30 TAB TROXERUTINA,CUMARINA)",Sistema cardiovascular
3300565,VENTOLIN 100MCG 18G SUS.200 DOSIS AER.(SALBUTAMOL),No encontrado
3300566,PROCORALAN 5 MG COMP C 56(IVABRADINA),Sistema cardiovascular
3300568,VENTOLIN INHAL 5MG 10ML SOL.(SALBUTAMOL),No encontrado
3300569,CELEBREX 200MG C/20 CAPS(CELECOXIB) PFIRER,Sistema musculoesquelético
3300572,ALMETEC 40MG C/14 TAB (OLMESARTAN),Sistema cardiovascular
3300573,OCTOSTIM 15 MICROGRAMOS AMP 1ML (DESMOPRESINA),"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3300574,PLENDIL 5MG C/10 TAB(FELODIPINO),Sistema cardiovascular
3300576,COLMESDANT 150MG/2ML FCO AMPULA (COLISTIMETATO),Antiinfecciosos para uso sistémico
3300579,VOLTAREN RETARD 100MG C/10 GRAG (DICLOFENACO),Sistema musculoesquelético
3300581,VOLTAREN 75MG AMP 3ML (DICLOFENACO),Sistema musculoesquelético
3300586,REGULACT JBE 120ML(LACTULOSA ),Tracto alimentario y metabolismo
3300587,VYTORIN 10/80 10MG/80MG 14 TAB(EZETIMIBA/SIMVASTATINA),No encontrado
3300588,FLEET ENEMA AD LAB FOSF-SODIO 133ML SOL (FOSFATO DE SODIO),Tracto alimentario y metabolismo
3300591,PISACAINA SPRAY 10% X DISPARO (LIDOCAMNA),Sistema nervioso
3300592,ROGASTRIL 1MG COMP C/25(CINITAPRIDA),Tracto alimentario y metabolismo
3300597,ZOVIRAX 200MG C/25 TABLETAS DISPER.(ACICLOVIR),Antiinfecciosos para uso sistémico
3300599,ZOVIRAX 400MG C/35 TABLETAS DISPER.(ACICLOVIR),Antiinfecciosos para uso sistémico
3300601,ZYLOPRIM 100MG C/60 TAB(ALOPURINOL),Sistema musculoesquelético
3300602,ZYPLO 60MG/100ML JBE 120ML(LEVODROPROPIZINA),Sistema respiratorio
3300604,AVAPENA 20MG/2ML AMPOLLETA (CLOROPIRAMINA),Sistema respiratorio
3300607,BACTROBAN UNGUENTO 15G 2% (MUPIROCINA),Dermatológicos
3300615,JANUMET 50/850MG COMP C/28(SITAGLIPTINA/METFORMINA),Tracto alimentario y metabolismo
3300618,TRIACEL AMP 0.5ML (VACUNA ACELULAR ANTIPERTUSIS),Antiinfecciosos para uso sistémico
3300620,LACTEOL FORT 170MG C/16 CAPSULAS(LACTOBACILOS ACIDOFILOS),Tracto alimentario y metabolismo
3300622,ATRO OFT 1% C.M.C. GOTAS 15ML(ATROPINA),Órganos de los sentidos
3300627,NEPRO HP 236 ML VAINILLA,Varios
3300629,ACC 200MG C/20 TAB EFERV (ACETILCISTEINA),Sistema respiratorio
3300633,TRACEFUSIN 20ML AMP (OLIGOMETALES ENDOVENOSO),Sangre y órganos hematopoyéticos
3300634,ATARAX 25MG C/25 TAB(HIDROXIZINA),Sistema nervioso
3300637,DIOVAN 80MG C/14 CPR(VALSARTAN),Sistema cardiovascular
3300638,DIOVAN 160MG C/30 CPR(VALSARTAN),Sistema cardiovascular
3300639,ATROVENT (11.22 G)AEROSOL 10ML (BROMURO DE IPRATROPIO),No encontrado
3300640,TOPRON 400MG C/10 TABS(NIFUROXAZIDA),Tracto alimentario y metabolismo
3300644,INHIBITRON 20MG C/28 CAPS(OMEPRAZOL ),Tracto alimentario y metabolismo
3300645,SOYALOID POLVO 90G SOBREHARINA DE SOYA,Dermatológicos
3300651,VENTOLIN 5MG 1ML/ AMP (SALBUTAMOL),No encontrado
3300655,ALMAX 1G/7.5ML SUSP 225ML (ALMAGATO),No encontrado
3300658,SYNALAR SIMPLE 0.01% 40G CREMA,Dermatológicos
3300662,VANCOCIN CP 500MG AMP (VANCOMICINA),Antiinfecciosos para uso sistémico
3300663,VANCOCIN CP 1G AMP (VANCOMICINA),Antiinfecciosos para uso sistémico
3300665,REVATHIO 20MG TABLETAS C/90 (SILDENAFIL),Sistema genitourinario y hormonas sexuales
3300666,TRADOL 50MG C/10 CAPS (TRAMADOL),Sistema nervioso
3300668,TRADOL 100MG 2ML AMP (TRAMADOL),Sistema nervioso
3300672,TYLEX FLU 500MG C/20 TAB(PARACETAMOL/FENILEFRINA/CLOFENAMINA,Sistema nervioso
3300680,CEFURACET (CEFUROXIMA) 250 MG SUSP 50 ML,Antiinfecciosos para uso sistémico
3300687,PLENDIL 5MG C/30 TAB,Sistema cardiovascular
3300688,AMOBAY CL 875/125 C/14 TAB(AMOXICILINA/ACIDO CLAVULANICO),Antiinfecciosos para uso sistémico
3300690,ZESTRIL 5MG C/28 TAB(LISINOPRIL),Sistema cardiovascular
3300694,SEVERIN NF 100MG C/10 TAB(NIMESULIDA ),Sistema musculoesquelético
3300695,METICEL OFT 10ML 0.5%(HIPROMELOSA),Sistema musculoesquelético
3300696,VOLTAREN EMULGEL 50G TUBO (DICLOFENACO),Sistema musculoesquelético
3300697,HAVRIX AMP 0.5ML PED. (VACUNA ANTIHEPATITIS A),No encontrado
3300699,BACTRIM AD 400/80MG C/30 CPR SULFAMETOXAZOL Y TRIMETOPRIMA,Antiinfecciosos para uso sistémico
3300700,SERC 24 MG C/ 30 TAB.,Sistema nervioso
3300701,RINELON 0.050G SPRAY NASAL 18ML(MOMETASONA),Sistema respiratorio
3300703,MICCIL 1MG C/20 CPR (BUMETANIDA),Sistema cardiovascular
3300704,IMIGRAN 50MG C/2 TAB SUMATRIPTAN,No encontrado
3300705,DIPROSPAN HYPACK AMP 1ML JGADESCH(BETAMETASONA) SCHERIN P.,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3300706,DIPROSPAN 5/2MG AMP 2ML DIPROSPAN,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3300711,FRAXIPARINE 0.4 ML AMP CAJA C/2 (ANTI XA DE NADROPARINA CALC,Sangre y órganos hematopoyéticos
3300712,COZAAR 50MG C/30 TAB(LOSARTAN),Sistema cardiovascular
3300716,MICOSTATIN GOTAS 60ML INF(NISTATINA),Tracto alimentario y metabolismo
3300717,RAPIX 10MG C/10 CAP(KETOROLACO),Sistema musculoesquelético
3300719,TALIZER 100MG C/50 TAB,Antineoplásicos e inmunomoduladores
3300720,FIRAC PLUS 125/10MG C/20 GRAGEAS(CLONIXINATO LISINA/PARGEVER,Sistema nervioso
3300721,VENOFERRUM 100MG AMP 5ML (SACARATO FERRICO),Sangre y órganos hematopoyéticos
3300727,BACTRIM 40/200MG SUSP 120ML(SULFAMETOXAZOL Y TRIMETOPRIMA),Antiinfecciosos para uso sistémico
3300733,NEURONTIN 300MG C/15 CAPS(GABAPENTINA),No encontrado
3300740,PEGASYS 180MCG/0.05ML AMP (PEGINTERFERSN A-2A),Antineoplásicos e inmunomoduladores
3300747,KLARICID I.V. 500MG AMP (CLARITROMICINA),Antiinfecciosos para uso sistémico
3300753,ZESTRIL 20MG C/14 TAB(LISINOPRIL),Sistema cardiovascular
3300755,INSULINA SHORANT 1 CART C/3 ML DISP. DESECHA (INS. GLUSINA),Tracto alimentario y metabolismo
3300756,HUMALOG MIX 25 VIAL 10ML (INSULINA LISPRO/LISPRO PROTAMINA),Tracto alimentario y metabolismo
3300761,GABIROL 100MG C/14 CAPS(RIMANTADINA),Antiinfecciosos para uso sistémico
3300763,HYZAAR 50/12.5MG C/15 TAB(LOSARTAN/HIDROCLOROTIAZIDA),Sistema cardiovascular
3300765,TEBONIN 761 40MG C/24 CPR(GINKGO BILOBA),Sistema nervioso
3300766,AFUNGIL 150MG C/1 TAB(FLUCONAZOL),Antiinfecciosos para uso sistémico
3300767,TETANOGAMA 250UI AMP,Antiinfecciosos para uso sistémico
3300773,GRIMAL GOTAS 2MG 10ML(HIALURONATO/OXIMETAZOLINA),Órganos de los sentidos
3300781,RENACENZ 10ML 215.2MG CAJA C/5 AMP (CEREBROLYSIN),Sistema nervioso
3300784,BENTYL 10MG C/30 CAP DICICLOVERINA,Tracto alimentario y metabolismo
3300786,TOPAMAX 100MG C/20(TOPIRAMATO),No encontrado
3300792,DILATREND 25MG C/14 TAB(CARVEDILOL),Sistema cardiovascular
3300798,SPIRIVA 18MCG C/10 CAPS Y DISP DISPARADORBROMURO DE TIOTROPI,Sistema respiratorio
3300799,XUZAL 5MG C/20 TAB LEVOCETIRIZINA,Sistema respiratorio
3300804,FLUMIL 2/75/75MG GOTAS 25 ML(AMINOFENAZONA BUFENINA),No encontrado
3300810,ALIN 0.50MG C/30 TAB (DEXAMETASONA),"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3300811,ANARA 20ML GTS(PICOSULFATO SODICO),Tracto alimentario y metabolismo
3300812,MALIVAL COMP 215/25MG C/32 CAPS INDOMETACINA/METOCARBAMOL,Sistema musculoesquelético
3300814,AKABAR 200MG C/16 TAB(NIFUROXAZIDA) CARNOT,Tracto alimentario y metabolismo
3300815,ANGIOTROFIN AP 90MG C/20 TAB (DILTIAZEM),Sistema cardiovascular
3300816,AZITROCIN 500MG C/3 TAB (AZITROMICINA),Antiinfecciosos para uso sistémico
3300818,AUGMENTIN 12H 875/125MG C/10 TAB(AMOXICILINA/ACIDO,Antiinfecciosos para uso sistémico
3300819,AUGMENTIN JR 12H 400MG SUSP 60ML(AMOXICILINA/ACIDO,Antiinfecciosos para uso sistémico
3300820,AMOBAY 500MG C/15 CAPS (AMOXICILINA),Antiinfecciosos para uso sistémico
3300822,NEBIDO 1000 MG 4ML AMP IM,Sistema genitourinario y hormonas sexuales
3300823,BUSCAPINA 10MG C/36 GRAGEAS (BUTILHIOCINA),No encontrado
3300824,DURATER 40MG C/10 CPR (FOMOTIDINA),Tracto alimentario y metabolismo
3300828,EUTIROX 25MCG C/50 TAB(LEVOTIROXINA SODICA),"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3300836,COLCHIQUIM 1MG C/20 TAB(COLCHICINA),Sistema musculoesquelético
3300837,KANK A 0.3 SOL 9.7ML(BENZOCAINA),Sistema respiratorio
3300839,CLORAMFENI UNGUENTO 5G(CLORANFENICOL),Órganos de los sentidos
