MedCode,MedDescription,Compound,MedFamily,MedPriceMXN,MinStock,MaxStock
3300035,SENSIBIT XP TAB C/20(LORATADINA/AMBROXOL),LORATADINA/AMBROXOL,Sistema respiratorio,238.5,1,1
3300136,CEDAX 400MG C/10 TABS. CEFTIBUTEN,CEDAX,Antiinfecciosos para uso sistémico,436,1,1
3300061,FLEET PS PHOSPHO SODA LAXANTE ORAL 45ML FOSFATO DE SODIO,FLEET,Tracto alimentario y metabolismo,772.5,2,3
2900517,ALBUMINA DE HUEVO 400GR OVOPROT,ALBUMINA,Sangre y órganos hematopoyéticos,1141.5,2,3
3300129,MONOCORAT 20MG C/20 TABS.(MONONITRATO DE ISOSORBIDA),MONONITRATO DE ISOSORBIDA,Sistema cardiovascular,57.5,1,1
2900217,"HIPOGLOS TUBO 110G (OXIDO DE ZINC/VITAMINA A,E)","OXIDO DE ZINC/VITAMINA A,E",Dermatológicos,822,1,2
2900369,TRADERMA UNGUENTO 0.1%TACROLIMUS CAJA CON TUBO/30G,TRADERMA,Dermatológicos,599,2,2
3300029,ADIMOD SOLUCION 800MG/7ML CAJA C/10 FCO (PIDOTIMOD),PIDOTIMOD,Antineoplásicos e inmunomoduladores,960,2,2
3300114,BIOMETRIX C/30 CAPS. VITAMINAS CON GINSENG Y GINGKO BILOBA,BIOMETRIX,Tracto alimentario y metabolismo,884,2,2
3300161,ARBISTIN 7.5G JBE 150ML ADULTO CARBOCISTEINA,ARBISTIN,Sistema respiratorio,2368,2,4
3300140,ZYPREXA IM 10MG AMP 2ML (OLANZAPINA),OLANZAPINA,Sistema nervioso,339,10,27
3300111,PULMONARON ORAL CAJA C/10 AMP 3ML,PULMONARON,Sistema respiratorio,1058.5,2,2
3300142,LIPITOR 80MG C/30 TAB(ATORVASTATINA),ATORVASTATINA,Sistema cardiovascular,801,5,13
3300170,DIMEGAN D 0.5/2MG PED SOL C/60ML C/PIPE(LORATADINA/FENILEFRI,LORATADINA/FENILEFRI,Sistema respiratorio,253.5,1,1
3300157,AKATINOL 10MG C/28 TABS(MEMANTINA),MEMANTINA,Sistema nervioso,1351,1,1
3300165,URO-VAXOM 6MG C/30 CAPS. EXTRACTO BACTERIANO LIOFOLIZADO,URO-VAXOM,Antineoplásicos e inmunomoduladores,1087,2,2
3300083,CO DIOVAN 160MG/25MG C/14 GRAGEASVALSARTAN + HIDROCLOROTIAZI,DIOVAN,Sistema cardiovascular,65.5,1,1
3300173,CICLOFERON COLOR PIEL TUBO 2G ACICLOVIR,CICLOFERON,Antiinfecciosos para uso sistémico,515,1,1
3300126,ATACAND 8MG C/14 TABS.(CANDESARTAN CILEXETILO),CANDESARTAN CILEXETILO,Sistema cardiovascular,399.5,1,2
3300091,AFUNGIL 100MG AMP 50ML (FLUCONAZOL),FLUCONAZOL,Antiinfecciosos para uso sistémico,1182.5,42,100
1000294,IGEF (CELECOXIB) 200MG C/20 CAP,CELECOXIB,Sistema musculoesquelético,1325,1,1
1000268,HALOPERIL 5MG/ML AMP IM (HALOPERIDOL),HALOPERIDOL,Sistema nervioso,1162,34,82
3300160,TAFIROL AC 500/50MG C/15 TAB (PARACETAMOL/DICLOFENACO),PARACETAMOL/DICLOFENACO,Sistema musculoesquelético,537,2,3
3300074,"ALOSOL SPRAY 306,808UI/0.860G/0.250/100ML SOL 20ML",ALOSOL,Sistema respiratorio,381,1,1
3300048,JANUMET 50MG/850MG C/56 TAB SITAGLIPTINA/METFORMINA,JANUMET,Tracto alimentario y metabolismo,870.5,1,1
3300078,EVIPRESS 10MG C/10 TABS.(LERCADINIPINO),LERCADINIPINO,Sistema cardiovascular,369,2,3
3300021,CIPRO XR 500MG C/7 CPR(CIPROFLOXACINO),CIPRO,Antiinfecciosos para uso sistémico,736,1,2
3300092,CRESTOR 10MG C/30 TABS.(ROSUVASTATINA),ROSUVASTATINA,Sistema cardiovascular,439,2,5
3300107,NUCLEO CMP FORTE 5MG/3MG C/30 CAPS.,NUCLEO,Sistema musculoesquelético,638,5,14
3300100,FOSFOCIL IV 4G AMP (FOSFOMICINA),FOSFOMICINA,Antiinfecciosos para uso sistémico,470,2,4
3300159,DOLOCARTIGEN 50MG/15MG C/30 CAPS. (MELOXICAM/DIACEREMNA),MELOXICAM/DIACEREMNA,Sistema musculoesquelético,520,1,1
3300262,SEROQUEL 25MG C/30 TABS QUETIAPINA,SEROQUEL,Sistema nervioso,351,2,3
3300182,ZYPREXA ZYDIS 10MG C/14 TABS (OLANZAPINA),OLANZAPINA,Sistema nervioso,2540,1,1
3300402,VESSEL DUE F 250 LRU C/50 (SULODEXIDA),SULODEXIDA,Sangre y órganos hematopoyéticos,589,1,1
3300378,LIBERTRIM SDP SUSP 30ML FCO(TRIMEBUTINA/SIMETICONA),TRIMEBUTINA/SIMETICONA,Tracto alimentario y metabolismo,840.5,2,4
3300219,SERETIDE EVOHALER 25/250M AER FCODOSISSALMETEROL/FLUTICASONA,FCODOSISSALMETEROL/FLUTICASONA,Sistema respiratorio,28307,1,2
3300367,CONCOR 1.25MG C/30 GRAG(BISOPROLOL),BISOPROLOL,Sistema cardiovascular,528.5,2,5
3300373,VYTORIN 10/40MG C/14 CPR(EZETIMIBA/SIMVASTATINA),EZETIMIBA/SIMVASTATINA,Sistema cardiovascular,840,1,1
3300301,VIAGRA 50MG C/4 TABS(SILDENAFIL),SILDENAFIL,Sistema genitourinario y hormonas sexuales,885.5,1,1
3300188,TRADOL (TRAMADOL) 50MG/ML AMP,TRAMADOL,Sistema nervioso,482,7,19
3300337,LIPIDIL 200MG C/28 CAP FENOFIBRATO,LIPIDIL,Sistema cardiovascular,523,2,2
3300190,ANGIOTROFIN RETARD 240MG C/10 TABS (DILTIAZEM),DILTIAZEM,Sistema cardiovascular,514.5,2,3
3300393,ALMETEC 20MG C/14 TAB(OLMESARTAN),OLMESARTAN,Sistema cardiovascular,653,1,1
3300321,CONTROLIP 160MG C/15 CAPS (FENOFIBRATO),FENOFIBRATO,Sistema cardiovascular,302,1,2
3300348,BREDELIN 500MG C/7 TAB (LEVOFLOXACINO) SENOSIAIN,LEVOFLOXACINO,Antiinfecciosos para uso sistémico,580,2,2
3300234,DIMEGAN D 5/20MG C/20 CAPS(LORATADINA/FENILEFRINA),LORATADINA/FENILEFRINA,Sistema respiratorio,408,1,2
3300418,SERETIDE DISKUS 50MCG/100MCG 60 DOSIS SALMETEROL/FLUTICASONA,SALMETEROL/FLUTICASONA,Sistema respiratorio,159.5,1,2
3300329,VOLTAREN 50 50MG C/30 GRAGEAS (DICLOFENACO),DICLOFENACO,Sistema musculoesquelético,416,1,1
3300315,BREDELIN 500MG AMP 100ML (LEVOFLOXACINO),LEVOFLOXACINO,Antiinfecciosos para uso sistémico,569,10,24
3300339,PARAMIX 1.2G SUSP 60ML(NITAZOXANIDA),NITAZOXANIDA,"Antiparasitarios, insecticidas y repelentes",324.5,1,1
3300195,SIBELIUM 5MG C/60 CAPS FLUNARIZINA,SIBELIUM,Sistema nervioso,366,2,5
3300439,EPIVAL ER 500MG C/30 TABS(VALPROATO SEMISODICO),VALPROATO SEMISODICO,Sistema nervioso,514,1,2
3300255,SERETIDE EVOHALER 25/125MG AER FCODOSISSALMETEROL/FLUTICASON,FCODOSISSALMETEROL/FLUTICASON,Sistema respiratorio,690,1,1
3300391,ASOFLON 0.4MG C/30 CAP (TAMSULOSINA),TAMSULOSINA,Sistema genitourinario y hormonas sexuales,1038,2,2
3300187,SOYALOID A PRURI LOC FCO 120ML. HARINA DE SOYA/PRAMOXIMA/ZIN,SOYALOID,Dermatológicos,239,1,2
3300300,JANUVIA 100MG C/28 TABS(SITAGLIPTINA),SITAGLIPTINA,Tracto alimentario y metabolismo,2837,1,1
3300371,BREDELIN 750MG C/7 TAB(LEVOFLOXACINO) SENOSIAIN,LEVOFLOXACINO,Antiinfecciosos para uso sistémico,26245,2,4
3300365,SINTROM 4MG C/30 TAB ACENOCUMAROL,ACENOCUMAROL,Sangre y órganos hematopoyéticos,462,1,2
3300398,PISDENO 6MG FCO AMP 2ML (ADENOSINA),ADENOSINA,Sistema cardiovascular,903,6,14
3300205,ATACAND 16MG C/14 TABS(CANDESARTAN CILEXETILO),CANDESARTAN CILEXETILO,Sistema cardiovascular,540,2,3
3300291,"PEPSANE 3G/4MG OGEL ORAL C/14 SOBRES(DIMETICONA,GUAIAZULENE)","DIMETICONA,GUAIAZULENE",Tracto alimentario y metabolismo,316,1,1
3300353,PEPSANE C/30 CAP DIMETICONA/GUAIAZULENE,PEPSANE,Tracto alimentario y metabolismo,1923,2,5
3300401,CRESTOR 20MG C/30 TAB(ROSUVASTATINA),ROSUVASTATINA,Sistema cardiovascular,236.5,3,8
3300336,PROSURE VAINILLA 250ML,PROSURE,Varios,316.5,11,30
3300354,FLAGENASE 400MG SUSP PED 120ML(METRONIDAZOL),METRONIDAZOL,Antiinfecciosos para uso sistémico,1169,1,1
3300289,HISTIACIL NF ADULTO JARABE 150MLDEXTROMETORFANO/AMBROXOL),HISTIACIL,Sistema respiratorio,699,2,5
3300237,HAVRIX AD 1440 1 JER (ANTMGENO DE HEPATITIS A),ANTMGENO DE HEPATITIS,Antiinfecciosos para uso sistémico,456,3,3
3300351,ISENTRESS 400MG COMP RECUBIERTOS,ISENTRESS,Antiinfecciosos para uso sistémico,1118,1,1
3300400,XARELTO 2.5 MG COMPS. C/56 RIVAROXABAN,XARELTO,Sangre y órganos hematopoyéticos,1984,2,2
3300293,PK MERZ 100MG C/30 TABS AMANTADINA,AMANTADINA,Sistema nervioso,1078,1,1
3300298,VIAGRA 50MG C/1 TAB( SILDENAFIL),SILDENAFIL,Sistema genitourinario y hormonas sexuales,270.5,1,2
3300342,NEVANAC 1.0MG GOTAS 5ML,NEVANAC,Órganos de los sentidos,130.5,1,1
3300266,TECTA 40MG C/14 TABS (PANTOPRAZOL),PANTOPRAZOL,Tracto alimentario y metabolismo,555.5,2,4
3300288,BINOTAL (AMPICILINA) 250 MG/ 5 ML SUSP 90 ML,AMPICILINA,Antiinfecciosos para uso sistémico,259,1,1
3300268,NEXUS 5MG C/30 CAPS (AMLODIPINO),AMLODIPINO,Sistema cardiovascular,2399,2,2
3300184,VOLTAREN PARCHES C/5 DICLOFENACO,VOLTAREN,Sistema musculoesquelético,145,1,1
3300358,CONCOR 10MG C/30 GRAG(BISOPROLOL),BISOPROLOL,Sistema cardiovascular,525.5,2,2
3300271,CEDAX 36MG 60ML SUSP CEFTIBUTEN,CEDAX,Antiinfecciosos para uso sistémico,811,1,1
3300265,ZOVIRAX 5GR/100 CREMA 10GR TUBO(ACICLOVIR),ACICLOVIR,Antiinfecciosos para uso sistémico,309,2,3
3300392,LEVEMIR FLEXPEN R AMP 100U/ML C/1 (INSULINA DETEMIR),INSULINA DETEMIR,Tracto alimentario y metabolismo,342,1,1
3300186,SERC 16MG C/20 TAB (BETAHISTINA),BETAHISTINA,Sistema nervioso,802,1,2
3300395,EXFORGE 10/320MG C/14 CPR(AMLODIPINO/VALSARTAN),AMLODIPINO/VALSARTAN,Sistema cardiovascular,248,1,2
3300386,TRANSILAX 35G/42.91G GEL 150G (LACTULOSA/PARAFINA),LACTULOSA/PARAFINA,Tracto alimentario y metabolismo,573.5,1,1
3300328,TOPAMAX 50MG C/20 TAB(TOPIRAMATO),TOPIRAMATO,Sistema nervioso,441.5,1,2
3300427,ZOVIRAX 800MG C/35 TABLETAS DISPER.(ACICLOVIR),ACICLOVIR,Antiinfecciosos para uso sistémico,2314,1,1
3300295,CLENDIX 300MG C/21 CAPS(CLINDAMICINA),CLINDAMICINA,Antiinfecciosos para uso sistémico,693.5,1,2
3300410,ELECTROLIT ADULTO SABORES 625ML,ELECTROLIT,Tracto alimentario y metabolismo,186,5,12
3300591,PISACAINA SPRAY 10% X DISPARO (LIDOCAMNA),LIDOCAMNA,Sistema nervioso,324.5,1,2
3300528,TRENTAL 400 MG C/30 LP GRAGEAS(PENTOXIFILINA),PENTOXIFILINA,Sistema cardiovascular,374,1,2
3300588,FLEET ENEMA AD LAB FOSF-SODIO 133ML SOL (FOSFATO DE SODIO),FOSFATO DE SODIO,Tracto alimentario y metabolismo,198.5,31,43
3300579,VOLTAREN RETARD 100MG C/10 GRAG (DICLOFENACO),DICLOFENACO,Sistema musculoesquelético,763.5,1,2
3300476,ALVESCO 100MG AERODOSIS SOLUCION(CICLESONIDA),CICLESONIDA,Sistema respiratorio,403,1,1
3300564,"VENALOT DEPOT 180/30MG C/30 TAB TROXERUTINA,CUMARINA)",VENALOT,Sistema cardiovascular,403,4,10
3300592,ROGASTRIL 1MG COMP C/25(CINITAPRIDA),CINITAPRIDA,Tracto alimentario y metabolismo,730,5,14
3300629,ACC 200MG C/20 TAB EFERV (ACETILCISTEINA),ACETILCISTEINA,Sistema respiratorio,220,2,2
3300597,ZOVIRAX 200MG C/25 TABLETAS DISPER.(ACICLOVIR),ACICLOVIR,Antiinfecciosos para uso sistémico,741.5,2,2
3300451,XALATAN 50MCG OFT SOL 2.5ML REFRI,XALATAN,Órganos de los sentidos,750,1,1
3300544,TROFERIT 300MG JARABE 120ML,TROFERIT,Sistema respiratorio,124,1,2
3300627,NEPRO HP 236 ML VAINILLA,NEPRO,Varios,894,44,117
3300546,ADALAT CC 30MG C/10 TA (NIFEDIPINO),NIFEDIPINO,Sistema cardiovascular,528.5,2,3
3300560,VAGITROL V C/10 OVULOS FLUCINOLONA/METRONIDAZOL/NISTATINA,VAGITROL,Sistema genitourinario y hormonas sexuales,285,1,2
3300522,ADALAT 10MG C/30 CAP(NIFEDIPINO),NIFEDIPINO,Sistema cardiovascular,160,2,2
3300587,VYTORIN 10/80 10MG/80MG 14 TAB(EZETIMIBA/SIMVASTATINA),EZETIMIBA/SIMVASTATINA,Sistema cardiovascular,1037,1,1
3300540,KEPPRA I.V. FCO AMP 500 MG/5ML (LEVETIRACETAM),LEVETIRACETAM,Sistema nervioso,391,40,112
3300569,CELEBREX 200MG C/20 CAPS(CELECOXIB) PFIRER,CELECOXIB,Sistema musculoesquelético,325,3,8
3300531,PLIDAN 10MG C/20 GRAGEASPARGEVERINA/,PLIDAN,Tracto alimentario y metabolismo,421,1,1
3300533,TRITACE 5MG C/16 TAB (RAMIPRIL),RAMIPRIL,Sistema cardiovascular,385,2,2
3300471,SINEMET 250/25MG TABLETAS CAJA C/ 30.,SINEMET,Sistema nervioso,539,2,2
3300545,TROFERIT 30MG C/15 TAB DROPROPIZINA,TROFERIT,Sistema respiratorio,110,1,1
3300576,COLMESDANT 150MG/2ML FCO AMPULA (COLISTIMETATO),COLISTIMETATO,Antiinfecciosos para uso sistémico,1532,12,35
3300601,ZYLOPRIM 100MG C/60 TAB(ALOPURINOL),ALOPURINOL,Sistema musculoesquelético,612,2,2
3300472,TYPHIM VI AMP 0.5ML (VACUNA ANTITIFOIDICA POLISACARIDA),TYPHIM,Antiinfecciosos para uso sistémico,495,1,1
3300517,ULSEN 40MG FCO AMP IV (OMEPRAZOL),OMEPRAZOL,Tracto alimentario y metabolismo,332,6,15
3300634,ATARAX 25MG C/25 TAB(HIDROXIZINA),HIDROXIZINA,Sistema nervioso,552.5,1,2
3300494,NEURALIN AMPOLLETA 1ML (COMPLEJO B/LIDOCAINA),NEURALIN,Sistema musculoesquelético,689,2,6
3300602,ZYPLO 60MG/100ML JBE 120ML(LEVODROPROPIZINA),LEVODROPROPIZINA,Sistema respiratorio,184.5,2,3
3300607,BACTROBAN UNGUENTO 15G 2% (MUPIROCINA),MUPIROCINA,Dermatológicos,243.5,2,3
3300620,LACTEOL FORT 170MG C/16 CAPSULAS(LACTOBACILOS ACIDOFILOS),LACTOBACILOS ACIDOFILOS,Tracto alimentario y metabolismo,584.5,1,1
3300478,ZYPREXA ZYDIS 5MG C/14 TAB(OLANZAPINA),OLANZAPINA,Sistema nervioso,1128.5,1,2
3300532,TRITACE 2.5MG C/16 TAB (RAMIPRIL),RAMIPRIL,Sistema cardiovascular,385,2,2
3300529,TRENTAL 300MG AMP 15ML (PENTOXIFILINA),PENTOXIFILINA,Sistema cardiovascular,569,15,42
3300568,VENTOLIN INHAL 5MG 10ML SOL.(SALBUTAMOL),SALBUTAMOL,Sistema respiratorio,545,8,11
3300604,AVAPENA 20MG/2ML AMPOLLETA (CLOROPIRAMINA),CLOROPIRAMINA,Sistema respiratorio,286,12,21
3300490,PARAMIX 500MG C/6 GRAG(NITAZOXANIDA),NITAZOXANIDA,"Antiparasitarios, insecticidas y repelentes",324.5,1,1
3300563,VARITON 500/450/50 MGC/20 GRAGEAS(DIOSMINA/HESPERIDINA),DIOSMINA/HESPERIDINA,Sistema cardiovascular,478.5,2,2
3300489,MIMPARA 30MG C/30 TAB,MIMPARA,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas",249.5,1,1
3300505,RAPIX RD SUBLINGUAL 30MG C/4 (KETOROLACO),KETOROLACO,Sistema musculoesquelético,545,2,2
3300622,ATRO OFT 1% C.M.C. GOTAS 15ML(ATROPINA),ATROPINA,Tracto alimentario y metabolismo,230,1,1
3300565,VENTOLIN 100MCG 18G SUS.200 DOSIS AER.(SALBUTAMOL),SALBUTAMOL,Sistema respiratorio,378,2,5
3300574,PLENDIL 5MG C/10 TAB(FELODIPINO),FELODIPINO,Sistema cardiovascular,687,1,1
3300524,NIMEPIS 100MG TAB C/10 (NIMESULIDA),NIMESULIDA,Sistema musculoesquelético,311,1,1
3300480,AVAPRO 300MG C/14 TAB(IRBESARTAN),IRBESARTAN,Sistema cardiovascular,710,1,1
3300562,ADALAT OROS 30MG C/10 TAB (NIFEDIPINO),NIFEDIPINO,Sistema cardiovascular,272,2,5
3300586,REGULACT JBE 120ML(LACTULOSA ),LACTULOSA ,Tracto alimentario y metabolismo,750,2,3
3300515,CILODEX 0.3/0.1G SUSP 5ML GOTAS(CIPROFLOXACINO/DEXAMETASONA),CIPROFLOXACINO/DEXAMETASONA,Órganos de los sentidos,894,1,1
3300468,CLORAMFENI OFTENO 15ML GOTAS(CLORANFENICOL),CLORANFENICOL,Antiinfecciosos para uso sistémico,108,2,2
3300465,"GAVINDO C/30 TAB(GABAPENTINA,TIAMINA,CIANOCOBALAMINA)","GABAPENTINA,TIAMINA,CIANOCOBALAMINA",Tracto alimentario y metabolismo,1993,1,1
3300541,ADEROGYL 15 C/5 AMP 3ML. ERGOCALCIFEROL,ADEROGYL,Tracto alimentario y metabolismo,110,2,2
3300581,VOLTAREN 75MG AMP 3ML (DICLOFENACO),DICLOFENACO,Sistema musculoesquelético,658.5,2,5
3300556,ADALAT RETARD 20MG C/28 CPR (NIFEDIPINO),NIFEDIPINO,Sistema cardiovascular,294,1,1
3300496,PLANTABEN EFERV 5G C/30 SOBRES PLANTAGO OVATA,PLANTABEN,No encontrado,1093,1,1
3300566,PROCORALAN 5 MG COMP C 56(IVABRADINA),IVABRADINA,Sistema cardiovascular,115,2,5
3300572,ALMETEC 40MG C/14 TAB (OLMESARTAN),OLMESARTAN,Sistema cardiovascular,575.98,1,2
3300537,DABEX 850MG C/30 TAB (METFORMINA),METFORMINA,Tracto alimentario y metabolismo,430,1,2
3300696,VOLTAREN EMULGEL 50G TUBO (DICLOFENACO),DICLOFENACO,Sistema musculoesquelético,133.5,3,7
3300658,SYNALAR SIMPLE 0.01% 40G CREMA,SYNALAR,Dermatológicos,115,1,2
3300706,DIPROSPAN 5/2MG AMP 2ML DIPROSPAN,DIPROSPAN,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas",228,1,1
3300812,MALIVAL COMP 215/25MG C/32 CAPS INDOMETACINA/METOCARBAMOL,MALIVAL,Sistema musculoesquelético,632,1,2
3300733,NEURONTIN 300MG C/15 CAPS(GABAPENTINA),GABAPENTINA,Sistema nervioso,607,2,2
3300792,DILATREND 25MG C/14 TAB(CARVEDILOL),CARVEDILOL,Sistema cardiovascular,172,1,2
3300699,BACTRIM AD 400/80MG C/30 CPR SULFAMETOXAZOL Y TRIMETOPRIMA,BACTRIM,Antiinfecciosos para uso sistémico,240.5,1,2
3300640,TOPRON 400MG C/10 TABS(NIFUROXAZIDA),NIFUROXAZIDA,Tracto alimentario y metabolismo,134.5,1,2
3300644,INHIBITRON 20MG C/28 CAPS(OMEPRAZOL ),OMEPRAZOL ,Tracto alimentario y metabolismo,1220,3,3
3300716,MICOSTATIN GOTAS 60ML INF(NISTATINA),NISTATINA,Tracto alimentario y metabolismo,356,2,4
3300711,FRAXIPARINE 0.4 ML AMP CAJA C/2 (ANTI XA DE NADROPARINA CALC,ANTI XA DE NADROPARINA CALC,Sangre y órganos hematopoyéticos,869,1,2
3300697,HAVRIX AMP 0.5ML PED. (VACUNA ANTIHEPATITIS A),VACUNA ANTIHEPATITIS A,Antiinfecciosos para uso sistémico,468,1,2
3300695,METICEL OFT 10ML 0.5%(HIPROMELOSA),HIPROMELOSA,Órganos de los sentidos,452.5,2,5
3300815,ANGIOTROFIN AP 90MG C/20 TAB (DILTIAZEM),DILTIAZEM,Sistema cardiovascular,344,1,2
3300811,ANARA 20ML GTS(PICOSULFATO SODICO),PICOSULFATO SODICO,Tracto alimentario y metabolismo,116,1,1
3300804,FLUMIL 2/75/75MG GOTAS 25 ML(AMINOFENAZONA BUFENINA),AMINOFENAZONA BUFENINA,Sistema respiratorio,703,1,2
3300700,SERC 24 MG C/ 30 TAB.,SERC,Sistema nervioso,433,2,5
3300721,VENOFERRUM 100MG AMP 5ML (SACARATO FERRICO),SACARATO FERRICO,Sangre y órganos hematopoyéticos,360,4,10
3300727,BACTRIM 40/200MG SUSP 120ML(SULFAMETOXAZOL Y TRIMETOPRIMA),SULFAMETOXAZOL Y TRIMETOPRIMA,Antiinfecciosos para uso sistémico,176,1,1
3300753,ZESTRIL 20MG C/14 TAB(LISINOPRIL),LISINOPRIL,Sistema cardiovascular,850,1,1
3300668,TRADOL 100MG 2ML AMP (TRAMADOL),TRAMADOL,Sistema nervioso,115,24,58
3300823,BUSCAPINA 10MG C/36 GRAGEAS (BUTILHIOCINA),BUTILHIOCINA,Tracto alimentario y metabolismo,302.5,2,2
3300766,AFUNGIL 150MG C/1 TAB(FLUCONAZOL),FLUCONAZOL,Antiinfecciosos para uso sistémico,369,2,6
3300655,ALMAX 1G/7.5ML SUSP 225ML (ALMAGATO),ALMAGATO,Tracto alimentario y metabolismo,288.5,2,6
3300651,VENTOLIN 5MG 1ML/ AMP (SALBUTAMOL),SALBUTAMOL,Sistema respiratorio,329.5,3,8
3300703,MICCIL 1MG C/20 CPR (BUMETANIDA),BUMETANIDA,Sistema cardiovascular,356,2,3
3300704,IMIGRAN 50MG C/2 TAB SUMATRIPTAN,SUMATRIPTAN,Sistema nervioso,150.5,2,2
3300666,TRADOL 50MG C/10 CAPS (TRAMADOL),TRAMADOL,Sistema nervioso,693,2,3
3300761,GABIROL 100MG C/14 CAPS(RIMANTADINA),RIMANTADINA,Antiinfecciosos para uso sistémico,508,1,2
3300662,VANCOCIN CP 500MG AMP (VANCOMICINA),VANCOMICINA,Antiinfecciosos para uso sistémico,675,19,56
3300645,SOYALOID POLVO 90G SOBREHARINA DE SOYA,SOYALOID,Dermatológicos,150,2,5
3300755,INSULINA SHORANT 1 CART C/3 ML DISP. DESECHA (INS. GLUSINA),INS. GLUSINA,Tracto alimentario y metabolismo,137,1,1
3300814,AKABAR 200MG C/16 TAB(NIFUROXAZIDA) CARNOT,NIFUROXAZIDA,Tracto alimentario y metabolismo,145.5,2,3
3300663,VANCOCIN CP 1G AMP (VANCOMICINA),VANCOMICINA,Antiinfecciosos para uso sistémico,1059,26,74
3300712,COZAAR 50MG C/30 TAB(LOSARTAN),LOSARTAN,Sistema cardiovascular,697,2,6
3300638,DIOVAN 160MG C/30 CPR(VALSARTAN),VALSARTAN,Sistema cardiovascular,502,1,2
3300680,CEFURACET (CEFUROXIMA) 250 MG SUSP 50 ML,CEFUROXIMA,Antiinfecciosos para uso sistémico,587,2,2
3300767,TETANOGAMA 250UI AMP,TETANOGAMA,Antiinfecciosos para uso sistémico,460,6,13
3300798,SPIRIVA 18MCG C/10 CAPS Y DISP DISPARADORBROMURO DE TIOTROPI,SPIRIVA,Sistema respiratorio,285.5,2,2
3300786,TOPAMAX 100MG C/20(TOPIRAMATO),TOPIRAMATO,Sistema nervioso,1163,1,2
3300690,ZESTRIL 5MG C/28 TAB(LISINOPRIL),LISINOPRIL,Sistema cardiovascular,311,1,1
