MedCode,MedDescription,MedPharmacon,MedFamily
3300182,ZYPREXA ZYDIS 10MG C/14 TABS (OLANZAPINA),ZYPREXA,Sistema nervioso
3300184,VOLTAREN PARCHES C/5 DICLOFENACO,VOLTAREN,Sistema musculoesquelético
3300186,SERC 16MG C/20 TAB (BETAHISTINA),SERC,Sistema nervioso
3300187,SOYALOID A PRURI LOC FCO 120ML. HARINA DE SOYA/PRAMOXIMA/ZIN,SOYALOID,Dermatológicos
3300188,TRADOL (TRAMADOL) 50MG/ML AMP,TRADOL,Sistema nervioso
3300190,ANGIOTROFIN RETARD 240MG C/10 TABS (DILTIAZEM),ANGIOTROFIN,Sistema cardiovascular
3300195,SIBELIUM 5MG C/60 CAPS FLUNARIZINA,SIBELIUM,Sistema nervioso
3300205,ATACAND 16MG C/14 TABS(CANDESARTAN CILEXETILO),ATACAND,Sistema cardiovascular
3300214,TRITAZIDE 2.5/12.5MG C/16 TABS(RAMIPRIL/HIDROCLOROTIAZIDA),TRITAZIDE,Sistema cardiovascular
3300219,SERETIDE EVOHALER 25/250M AER FCODOSISSALMETEROL/FLUTICASONA,SERETIDE,No encontrado
3300234,DIMEGAN D 5/20MG C/20 CAPS(LORATADINA/FENILEFRINA),DIMEGAN,Sistema respiratorio
3300237,HAVRIX AD 1440 1 JER (ANTMGENO DE HEPATITIS A),HAVRIX,No encontrado
3300238,ENGERIX-B ADULTO JER (ANTMGENO DE HEPATITIS B),ENGERIX-B,Antiinfecciosos para uso sistémico
3300244,FOSAMAX PLUS 70MG/5600UI COMP (ALENDRONICO/COLECACIFERO),FOSAMAX,No encontrado
3300251,"VARTALON COMP 1500/1200MG C/15 SOB(GLUCOSAMINA,CONDROITIN)",VARTALON,Sistema musculoesquelético
3300255,SERETIDE EVOHALER 25/125MG AER FCODOSISSALMETEROL/FLUTICASON,SERETIDE,No encontrado
3300262,SEROQUEL 25MG C/30 TABS QUETIAPINA,SEROQUEL,Sistema nervioso
3300265,ZOVIRAX 5GR/100 CREMA 10GR TUBO(ACICLOVIR),ZOVIRAX,Antiinfecciosos para uso sistémico
3300266,TECTA 40MG C/14 TABS (PANTOPRAZOL),TECTA,Tracto alimentario y metabolismo
3300268,NEXUS 5MG C/30 CAPS (AMLODIPINO),NEXUS,Sistema cardiovascular
3300271,CEDAX 36MG 60ML SUSP CEFTIBUTEN,CEDAX,Antiinfecciosos para uso sistémico
3300280,SINERGIX 25/10MG C/4 SUBLINGUAL(TRAMADOL/KETOROLACO),SINERGIX,Sistema nervioso
3300288,BINOTAL (AMPICILINA) 250 MG/ 5 ML SUSP 90 ML,BINOTAL,Antiinfecciosos para uso sistémico
3300289,HISTIACIL NF ADULTO JARABE 150MLDEXTROMETORFANO/AMBROXOL),HISTIACIL,Sistema respiratorio
3300291,"PEPSANE 3G/4MG OGEL ORAL C/14 SOBRES(DIMETICONA,GUAIAZULENE)",PEPSANE,Tracto alimentario y metabolismo
3300293,PK MERZ 100MG C/30 TABS AMANTADINA,PK,No encontrado
3300295,CLENDIX 300MG C/21 CAPS(CLINDAMICINA),CLENDIX,Antiinfecciosos para uso sistémico
3300298,VIAGRA 50MG C/1 TAB( SILDENAFIL),VIAGRA,Sistema genitourinario y hormonas sexuales
3300300,JANUVIA 100MG C/28 TABS(SITAGLIPTINA),JANUVIA,Tracto alimentario y metabolismo
3300301,VIAGRA 50MG C/4 TABS(SILDENAFIL),VIAGRA,Sistema genitourinario y hormonas sexuales
3300315,BREDELIN 500MG AMP 100ML (LEVOFLOXACINO),BREDELIN,Antiinfecciosos para uso sistémico
3300321,CONTROLIP 160MG C/15 CAPS (FENOFIBRATO),CONTROLIP,Sistema cardiovascular
3300322,JANUMET 50/1000MG C/56 COMP(SITAGLIPTINA/METFORMINA),JANUMET,Tracto alimentario y metabolismo
3300323,JANUMET 50/500MG C/28 TABS(SITAGLIPTINA/METFORMINA),JANUMET,Tracto alimentario y metabolismo
3300328,TOPAMAX 50MG C/20 TAB(TOPIRAMATO),TOPAMAX,No encontrado
3300329,VOLTAREN 50 50MG C/30 GRAGEAS (DICLOFENACO),VOLTAREN,Sistema musculoesquelético
3300336,PROSURE VAINILLA 250ML,PROSURE,Varios
3300337,LIPIDIL 200MG C/28 CAP FENOFIBRATO,LIPIDIL,Sistema cardiovascular
3300339,PARAMIX 1.2G SUSP 60ML(NITAZOXANIDA),PARAMIX,"Antiparasitarios, insecticidas y repelentes"
3300342,NEVANAC 1.0MG GOTAS 5ML,NEVANAC,Órganos de los sentidos
3300348,BREDELIN 500MG C/7 TAB (LEVOFLOXACINO) SENOSIAIN,BREDELIN,Antiinfecciosos para uso sistémico
3300351,ISENTRESS 400MG COMP RECUBIERTOS,ISENTRESS,Antiinfecciosos para uso sistémico
3300353,PEPSANE C/30 CAP DIMETICONA/GUAIAZULENE,PEPSANE,Tracto alimentario y metabolismo
3300354,FLAGENASE 400MG SUSP PED 120ML(METRONIDAZOL),FLAGENASE,"Antiparasitarios, insecticidas y repelentes"
3300358,CONCOR 10MG C/30 GRAG(BISOPROLOL),CONCOR,Sistema cardiovascular
3300365,SINTROM 4MG C/30 TAB ACENOCUMAROL,SINTROM,No encontrado
3300367,CONCOR 1.25MG C/30 GRAG(BISOPROLOL),CONCOR,Sistema cardiovascular
3300371,BREDELIN 750MG C/7 TAB(LEVOFLOXACINO) SENOSIAIN,BREDELIN,Antiinfecciosos para uso sistémico
3300373,VYTORIN 10/40MG C/14 CPR(EZETIMIBA/SIMVASTATINA),VYTORIN,No encontrado
3300377,CEFTREX IM 1GR AMP 10ML (CEFTRIAXONA),CEFTREX,Antiinfecciosos para uso sistémico
3300378,LIBERTRIM SDP SUSP 30ML FCO(TRIMEBUTINA/SIMETICONA),LIBERTRIM,Tracto alimentario y metabolismo
3300379,ACTRON PLUS 400/100MG C/10 CAPS (IBUPROFENO+CAFEINA),ACTRON,Sistema musculoesquelético
3300386,TRANSILAX 35G/42.91G GEL 150G (LACTULOSA/PARAFINA),TRANSILAX,Tracto alimentario y metabolismo
3300391,ASOFLON 0.4MG C/30 CAP (TAMSULOSINA),ASOFLON,Sistema genitourinario y hormonas sexuales
3300392,LEVEMIR FLEXPEN R AMP 100U/ML C/1 (INSULINA DETEMIR),LEVEMIR,No encontrado
3300393,ALMETEC 20MG C/14 TAB(OLMESARTAN),ALMETEC,Sistema cardiovascular
3300395,EXFORGE 10/320MG C/14 CPR(AMLODIPINO/VALSARTAN),EXFORGE,Sistema cardiovascular
3300398,PISDENO 6MG FCO AMP 2ML (ADENOSINA),PISDENO,Sistema cardiovascular
3300399,HUMALOG KWIKPEN JER PRELL 3ML (INSULINA LISPRO (ORIGEN ADN R,HUMALOG,Tracto alimentario y metabolismo
3300400,XARELTO 2.5 MG COMPS. C/56 RIVAROXABAN,XARELTO,Sangre y órganos hematopoyéticos
3300401,CRESTOR 20MG C/30 TAB(ROSUVASTATINA),CRESTOR,No encontrado
3300402,VESSEL DUE F 250 LRU C/50 (SULODEXIDA),VESSEL,Sangre y órganos hematopoyéticos
3300410,ELECTROLIT ADULTO SABORES 625ML,ELECTROLIT,Tracto alimentario y metabolismo
3300418,SERETIDE DISKUS 50MCG/100MCG 60 DOSIS SALMETEROL/FLUTICASONA,SERETIDE,No encontrado
3300427,ZOVIRAX 800MG C/35 TABLETAS DISPER.(ACICLOVIR),ZOVIRAX,Antiinfecciosos para uso sistémico
3300439,EPIVAL ER 500MG C/30 TABS(VALPROATO SEMISODICO),EPIVAL,Sistema nervioso
3300442,ALEVIAN DUO C/16 CAPS(DIMETICONA/BROMURO DE PINAVERINO),ALEVIAN,Tracto alimentario y metabolismo
3300446,KINEX 2MG C/30 TABS(BIPERIDENO),KINEX,Sistema nervioso
3300451,XALATAN 50MCG OFT SOL 2.5ML REFRI,XALATAN,Órganos de los sentidos
3300457,EFFIENT 10MG TAB C/14(PRASUGREL),EFFIENT,Sangre y órganos hematopoyéticos
3300462,"PRIORIX AMP 0.5ML (VACULA SARAMPION, PAROTIDITIS Y RUBEOLA)",PRIORIX,No encontrado
3300465,"GAVINDO C/30 TAB(GABAPENTINA,TIAMINA,CIANOCOBALAMINA)",GAVINDO,Tracto alimentario y metabolismo
3300468,CLORAMFENI OFTENO 15ML GOTAS(CLORANFENICOL),CLORAMFENI,Órganos de los sentidos
3300471,SINEMET 250/25MG TABLETAS CAJA C/ 30.,SINEMET,Sistema nervioso
3300472,TYPHIM VI AMP 0.5ML (VACUNA ANTITIFOIDICA POLISACARIDA),TYPHIM,Antiinfecciosos para uso sistémico
3300476,ALVESCO 100MG AERODOSIS SOLUCION(CICLESONIDA),ALVESCO,No encontrado
3300478,ZYPREXA ZYDIS 5MG C/14 TAB(OLANZAPINA),ZYPREXA,Sistema nervioso
3300479,CARNOTPRIM 12H 15MG C/20 COMP (METOCLOPRAMIDA),CARNOTPRIM,Tracto alimentario y metabolismo
3300480,AVAPRO 300MG C/14 TAB(IRBESARTAN),AVAPRO,Sistema cardiovascular
3300484,HUMYLUB OFTALMICO 15ML GOTAS(HIALURONATO DE SODIO/SULFATO DE,HUMYLUB,Órganos de los sentidos
3300489,MIMPARA 30MG C/30 TAB,MIMPARA,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3300490,PARAMIX 500MG C/6 GRAG(NITAZOXANIDA),PARAMIX,"Antiparasitarios, insecticidas y repelentes"
3300494,NEURALIN AMPOLLETA 1ML (COMPLEJO B/LIDOCAINA),NEURALIN,Sistema musculoesquelético
3300496,PLANTABEN EFERV 5G C/30 SOBRES PLANTAGO OVATA,PLANTABEN,No encontrado
3300505,RAPIX RD SUBLINGUAL 30MG C/4 (KETOROLACO),RAPIX,Sistema musculoesquelético
3300507,CAFIASPIRINA (AAS/CAFEMNA) 500 MG/30 MG TAB C/40,CAFIASPIRINA,Sistema nervioso
3300515,CILODEX 0.3/0.1G SUSP 5ML GOTAS(CIPROFLOXACINO/DEXAMETASONA),CILODEX,Órganos de los sentidos
3300517,ULSEN 40MG FCO AMP IV (OMEPRAZOL),ULSEN,Tracto alimentario y metabolismo
3300522,ADALAT 10MG C/30 CAP(NIFEDIPINO),ADALAT,No encontrado
3300524,NIMEPIS 100MG TAB C/10 (NIMESULIDA),NIMEPIS,Sistema musculoesquelético
3300525,TREDA 129/280/30MG C/20 TAB,TREDA,Tracto alimentario y metabolismo
3300528,TRENTAL 400 MG C/30 LP GRAGEAS(PENTOXIFILINA),TRENTAL,Sistema cardiovascular
3300529,TRENTAL 300MG AMP 15ML (PENTOXIFILINA),TRENTAL,Sistema cardiovascular
3300531,PLIDAN 10MG C/20 GRAGEASPARGEVERINA/,PLIDAN,Tracto alimentario y metabolismo
3300532,TRITACE 2.5MG C/16 TAB (RAMIPRIL),TRITACE,Sistema cardiovascular
3300533,TRITACE 5MG C/16 TAB (RAMIPRIL),TRITACE,Sistema cardiovascular
3300537,DABEX 850MG C/30 TAB (METFORMINA),DABEX,Tracto alimentario y metabolismo
3300540,KEPPRA I.V. FCO AMP 500 MG/5ML (LEVETIRACETAM),KEPPRA,Sistema nervioso
3300541,ADEROGYL 15 C/5 AMP 3ML. ERGOCALCIFEROL,ADEROGYL,Tracto alimentario y metabolismo
3300544,TROFERIT 300MG JARABE 120ML,TROFERIT,Sistema respiratorio
3300545,TROFERIT 30MG C/15 TAB DROPROPIZINA,TROFERIT,Sistema respiratorio
3300546,ADALAT CC 30MG C/10 TA (NIFEDIPINO),ADALAT,No encontrado
3300556,ADALAT RETARD 20MG C/28 CPR (NIFEDIPINO),ADALAT,No encontrado
3300557,URSOFALK 250MG C/50 CAPS URSODEOXICOLICO,URSOFALK,Tracto alimentario y metabolismo
3300560,VAGITROL V C/10 OVULOS FLUCINOLONA/METRONIDAZOL/NISTATINA,VAGITROL,Sistema genitourinario y hormonas sexuales
3300562,ADALAT OROS 30MG C/10 TAB (NIFEDIPINO),ADALAT,No encontrado
3300563,VARITON 500/450/50 MGC/20 GRAGEAS(DIOSMINA/HESPERIDINA),VARITON,Sistema cardiovascular
3300564,"VENALOT DEPOT 180/30MG C/30 TAB TROXERUTINA,CUMARINA)",VENALOT,Sistema cardiovascular
3300565,VENTOLIN 100MCG 18G SUS.200 DOSIS AER.(SALBUTAMOL),VENTOLIN,No encontrado
3300566,PROCORALAN 5 MG COMP C 56(IVABRADINA),PROCORALAN,Sistema cardiovascular
3300568,VENTOLIN INHAL 5MG 10ML SOL.(SALBUTAMOL),VENTOLIN,No encontrado
3300569,CELEBREX 200MG C/20 CAPS(CELECOXIB) PFIRER,CELEBREX,Sistema musculoesquelético
3300572,ALMETEC 40MG C/14 TAB (OLMESARTAN),ALMETEC,Sistema cardiovascular
3300573,OCTOSTIM 15 MICROGRAMOS AMP 1ML (DESMOPRESINA),OCTOSTIM,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3300574,PLENDIL 5MG C/10 TAB(FELODIPINO),PLENDIL,Sistema cardiovascular
3300576,COLMESDANT 150MG/2ML FCO AMPULA (COLISTIMETATO),COLMESDANT,Antiinfecciosos para uso sistémico
3300579,VOLTAREN RETARD 100MG C/10 GRAG (DICLOFENACO),VOLTAREN,Sistema musculoesquelético
3300581,VOLTAREN 75MG AMP 3ML (DICLOFENACO),VOLTAREN,Sistema musculoesquelético
3300586,REGULACT JBE 120ML(LACTULOSA ),REGULACT,Tracto alimentario y metabolismo
3300587,VYTORIN 10/80 10MG/80MG 14 TAB(EZETIMIBA/SIMVASTATINA),VYTORIN,No encontrado
3300588,FLEET ENEMA AD LAB FOSF-SODIO 133ML SOL (FOSFATO DE SODIO),FLEET,Tracto alimentario y metabolismo
3300591,PISACAINA SPRAY 10% X DISPARO (LIDOCAMNA),PISACAINA,Sistema nervioso
3300592,ROGASTRIL 1MG COMP C/25(CINITAPRIDA),ROGASTRIL,Tracto alimentario y metabolismo
3300597,ZOVIRAX 200MG C/25 TABLETAS DISPER.(ACICLOVIR),ZOVIRAX,Antiinfecciosos para uso sistémico
3300599,ZOVIRAX 400MG C/35 TABLETAS DISPER.(ACICLOVIR),ZOVIRAX,Antiinfecciosos para uso sistémico
3300601,ZYLOPRIM 100MG C/60 TAB(ALOPURINOL),ZYLOPRIM,Sistema musculoesquelético
3300602,ZYPLO 60MG/100ML JBE 120ML(LEVODROPROPIZINA),ZYPLO,Sistema respiratorio
3300604,AVAPENA 20MG/2ML AMPOLLETA (CLOROPIRAMINA),AVAPENA,Sistema respiratorio
3300607,BACTROBAN UNGUENTO 15G 2% (MUPIROCINA),BACTROBAN,Dermatológicos
3300615,JANUMET 50/850MG COMP C/28(SITAGLIPTINA/METFORMINA),JANUMET,Tracto alimentario y metabolismo
3300618,TRIACEL AMP 0.5ML (VACUNA ACELULAR ANTIPERTUSIS),TRIACEL,Antiinfecciosos para uso sistémico
3300620,LACTEOL FORT 170MG C/16 CAPSULAS(LACTOBACILOS ACIDOFILOS),LACTEOL,Tracto alimentario y metabolismo
3300622,ATRO OFT 1% C.M.C. GOTAS 15ML(ATROPINA),ATRO,Órganos de los sentidos
3300627,NEPRO HP 236 ML VAINILLA,NEPRO,Varios
3300629,ACC 200MG C/20 TAB EFERV (ACETILCISTEINA),ACC,Sistema respiratorio
3300633,TRACEFUSIN 20ML AMP (OLIGOMETALES ENDOVENOSO),TRACEFUSIN,Sangre y órganos hematopoyéticos
3300634,ATARAX 25MG C/25 TAB(HIDROXIZINA),ATARAX,Sistema nervioso
3300637,DIOVAN 80MG C/14 CPR(VALSARTAN),DIOVAN,Sistema cardiovascular
3300638,DIOVAN 160MG C/30 CPR(VALSARTAN),DIOVAN,Sistema cardiovascular
3300639,ATROVENT (11.22 G)AEROSOL 10ML (BROMURO DE IPRATROPIO),ATROVENT,No encontrado
3300640,TOPRON 400MG C/10 TABS(NIFUROXAZIDA),TOPRON,Tracto alimentario y metabolismo
3300644,INHIBITRON 20MG C/28 CAPS(OMEPRAZOL ),INHIBITRON,Tracto alimentario y metabolismo
3300645,SOYALOID POLVO 90G SOBREHARINA DE SOYA,SOYALOID,Dermatológicos
3300651,VENTOLIN 5MG 1ML/ AMP (SALBUTAMOL),VENTOLIN,No encontrado
3300655,ALMAX 1G/7.5ML SUSP 225ML (ALMAGATO),ALMAX,No encontrado
3300658,SYNALAR SIMPLE 0.01% 40G CREMA,SYNALAR,Dermatológicos
3300662,VANCOCIN CP 500MG AMP (VANCOMICINA),VANCOCIN,Antiinfecciosos para uso sistémico
3300663,VANCOCIN CP 1G AMP (VANCOMICINA),VANCOCIN,Antiinfecciosos para uso sistémico
3300665,REVATHIO 20MG TABLETAS C/90 (SILDENAFIL),REVATHIO,Sistema genitourinario y hormonas sexuales
3300666,TRADOL 50MG C/10 CAPS (TRAMADOL),TRADOL,Sistema nervioso
3300668,TRADOL 100MG 2ML AMP (TRAMADOL),TRADOL,Sistema nervioso
3300672,TYLEX FLU 500MG C/20 TAB(PARACETAMOL/FENILEFRINA/CLOFENAMINA,TYLEX,Sistema nervioso
3300680,CEFURACET (CEFUROXIMA) 250 MG SUSP 50 ML,CEFURACET,Antiinfecciosos para uso sistémico
3300687,PLENDIL 5MG C/30 TAB,PLENDIL,Sistema cardiovascular
3300688,AMOBAY CL 875/125 C/14 TAB(AMOXICILINA/ACIDO CLAVULANICO),AMOBAY,Antiinfecciosos para uso sistémico
3300690,ZESTRIL 5MG C/28 TAB(LISINOPRIL),ZESTRIL,Sistema cardiovascular
3300694,SEVERIN NF 100MG C/10 TAB(NIMESULIDA ),SEVERIN,Sistema musculoesquelético
3300695,METICEL OFT 10ML 0.5%(HIPROMELOSA),METICEL,Sistema musculoesquelético
3300696,VOLTAREN EMULGEL 50G TUBO (DICLOFENACO),VOLTAREN,Sistema musculoesquelético
3300697,HAVRIX AMP 0.5ML PED. (VACUNA ANTIHEPATITIS A),HAVRIX,No encontrado
3300699,BACTRIM AD 400/80MG C/30 CPR SULFAMETOXAZOL Y TRIMETOPRIMA,BACTRIM,Antiinfecciosos para uso sistémico
3300700,SERC 24 MG C/ 30 TAB.,SERC,Sistema nervioso
3300701,RINELON 0.050G SPRAY NASAL 18ML(MOMETASONA),RINELON,Sistema respiratorio
3300703,MICCIL 1MG C/20 CPR (BUMETANIDA),MICCIL,Sistema cardiovascular
3300704,IMIGRAN 50MG C/2 TAB SUMATRIPTAN,IMIGRAN,No encontrado
3300705,DIPROSPAN HYPACK AMP 1ML JGADESCH(BETAMETASONA) SCHERIN P.,DIPROSPAN,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3300706,DIPROSPAN 5/2MG AMP 2ML DIPROSPAN,DIPROSPAN,"Preparados hormonales sistémicos, excluyendo hormonas sexuales e insulinas"
3300711,FRAXIPARINE 0.4 ML AMP CAJA C/2 (ANTI XA DE NADROPARINA CALC,FRAXIPARINE,Sangre y órganos hematopoyéticos
3300712,COZAAR 50MG C/30 TAB(LOSARTAN),COZAAR,Sistema cardiovascular
3300716,MICOSTATIN GOTAS 60ML INF(NISTATINA),MICOSTATIN,Tracto alimentario y metabolismo
3300717,RAPIX 10MG C/10 CAP(KETOROLACO),RAPIX,Sistema musculoesquelético
3300719,TALIZER 100MG C/50 TAB,TALIZER,Antineoplásicos e inmunomoduladores
3300720,FIRAC PLUS 125/10MG C/20 GRAGEAS(CLONIXINATO LISINA/PARGEVER,FIRAC,Sistema nervioso
3300721,VENOFERRUM 100MG AMP 5ML (SACARATO FERRICO),VENOFERRUM,Sangre y órganos hematopoyéticos
