PROVEEDOR,PEDIDO,FECHA PEDIDO,FECHA ENTREGA,REQUISICION,FECHA SOLICITUD,C. COSTOS,ARTÍCULO,DESCRIPCIÓN,FACTURA,FECHA RECEPCION,CANTIDAD REQUISICION,CANTIDAD SOLICITADA,CANTIDAD RECIBIDA,%
"CENTRO MEDICO FARMACIA, S.A. DE C.V.",279707.0,2018-10-08,2018-10-15,57937.0,2018-10-08,MATERIAL DE CURACION,1901032,#ALLEVYN SACRUM 22CM X 22CM 66000451,,,10.0,10.0,0,0.0
CIRUGIA Y ESTERILIZACION INTEGRAL MEXICANA SA DE CV,264043.0,2018-03-26,2018-04-02,54220.0,2018-03-26,MATERIAL DE CURACION/ENFERMERIA,1902097,#CATETER POWER PICC SHERLOCK 4275118,B-14636,2018-03-28,5.0,5.0,3,60.0
CIRUGIA Y ESTERILIZACION INTEGRAL MEXICANA SA DE CV,264043.0,2018-03-26,2018-04-02,54220.0,2018-03-26,MATERIAL DE CURACION/ENFERMERIA,1902097,#CATETER POWER PICC SHERLOCK 4275118,B-14638,2018-03-28,5.0,5.0,2,40.0
CIRUGIA Y ESTERILIZACION INTEGRAL MEXICANA SA DE CV,267184.0,2018-05-07,2018-05-14,54989.0,2018-05-07,MATERIAL DE CURACION/ENFERMERIA,1902097,#CATETER POWER PICC SHERLOCK 4275118,,,3.0,3.0,0,0.0
CIRUGIA Y ESTERILIZACION INTEGRAL MEXICANA SA DE CV,276367.0,2018-08-27,2018-09-03,57176.0,2018-08-27,MATERIAL DE CURACION,1902016,#KIT DE CATETER UNIVERSAL PICC 5FR 2L BARD 8275118,B-15874,2018-08-28,5.0,5.0,4,80.0
CIRUGIA Y ESTERILIZACION INTEGRAL MEXICANA SA DE CV,283228.0,2018-11-20,2018-11-27,58664.0,2018-11-16,MATERIAL DE CURACION/ENFERMERIA,1902139,#CATETER POWER PICC 3 LUMEN SHERLOCK 4375118,B-16554,2018-11-22,3.0,3.0,1,33.33
CIRUGIA Y ESTERILIZACION INTEGRAL MEXICANA SA DE CV,283228.0,2018-11-20,2018-11-27,58664.0,2018-11-16,MATERIAL DE CURACION/ENFERMERIA,1902139,#CATETER POWER PICC 3 LUMEN SHERLOCK 4375118,B-16623,2018-11-27,3.0,3.0,2,66.67
CIRUGIA Y ESTERILIZACION INTEGRAL MEXICANA SA DE CV,285358.0,2018-12-17,2018-12-24,59201.0,2018-12-17,MATERIAL DE CURACION/ENFERMERIA,1902139,#CATETER POWER PICC 3 LUMEN SHERLOCK 4375118,,,3.0,3.0,0,0.0
CIRUGIA Y ESTERILIZACION INTEGRAL MEXICANA SA DE CV,285676.0,2018-12-24,2018-12-31,59310.0,2018-12-22,MATERIAL DE CURACION/ENFERMERIA,1902139,#CATETER POWER PICC 3 LUMEN SHERLOCK 4375118,,,5.0,5.0,0,0.0
CIRUGIA Y ESTERILIZACION INTEGRAL MEXICANA SA DE CV,285676.0,2018-12-24,2018-12-31,59310.0,2018-12-22,MATERIAL DE CURACION/ENFERMERIA,1902097,#CATETER POWER PICC SHERLOCK 4275118,,,5.0,5.0,0,0.0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,271782.0,2018-07-03,2018-07-04,56111.0,2018-07-03,MEDICAMENTOS,3301205,BUSCAPINA (HIOSCINA) 20 MG/ML AMP,,,6.0,6.0,0,0.0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,272239.0,2018-07-05,2018-07-06,56157.0,2018-07-05,MEDICAMENTOS,3301205,BUSCAPINA (HIOSCINA) 20 MG/ML AMP,,,6.0,6.0,0,0.0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,272240.0,2018-07-05,2018-07-06,56159.0,2018-07-05,MEDICAMENTOS,3302662,NASALUB ADU SOL HUMEC 30ML NASAL(CLORURO DE SODIO),,,1.0,5.0,0,0.0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,272273.0,2018-07-06,2018-07-09,56169.0,2018-07-06,MEDICAMENTOS,3301205,BUSCAPINA (HIOSCINA) 20 MG/ML AMP,,,6.0,9.0,0,0.0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,272880.0,2018-07-13,2018-07-14,56308.0,2018-07-13,MEDICAMENTOS,3301205,BUSCAPINA (HIOSCINA) 20 MG/ML AMP,,,6.0,6.0,0,0.0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,274414.0,2018-08-01,2018-08-02,56686.0,2018-08-01,MEDICAMENTOS,3301205,BUSCAPINA (HIOSCINA) 20 MG/ML AMP,,,6.0,3.0,0,0.0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,275056.0,2018-08-10,2018-08-11,56847.0,2018-08-10,MEDICAMENTOS,3301354,ASPIRINA PROTECT (ACIDO ACETILSALICILICO) 100MG TAB C/28,,,2.0,1.0,0,0.0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,279542.0,2018-10-08,2018-10-09,57923.0,2018-10-08,MEDICAMENTOS,3600088,LIBERTRIM 50MG/5ML AMP (TRIMEBUTINA),,,60.0,12.0,0,0.0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,282382.0,2018-11-07,2018-11-08,58494.0,2018-11-07,MEDICAMENTOS,3600088,LIBERTRIM 50MG/5ML AMP (TRIMEBUTINA),,,36.0,12.0,0,0.0
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS S.A. DE C.V.,282383.0,2018-11-07,2018-11-08,58494.0,2018-11-07,MEDICAMENTOS,3600088,LIBERTRIM 50MG/5ML AMP (TRIMEBUTINA),,,36.0,12.0,0,0.0
"COMERCIALIZADORA SANCHEZ RICO, S.A. DE C.V.",270192.0,2018-06-11,2018-06-18,55672.0,2018-06-11,MATERIAL DE CURACION,1901030,#MEDIVAC 1500 CC,,,50.0,50.0,0,0.0
"COMERCIALIZADORA SANCHEZ RICO, S.A. DE C.V.",273074.0,2018-07-16,2018-07-23,56352.0,2018-07-16,MATERIAL DE CURACION,1901030,#MEDIVAC 1500 CC,,,50.0,50.0,0,0.0
"COMERCIALIZADORA TYNOR MEXICO, S.A. DE C.V.",258253.0,2018-01-08,2018-01-15,52767.0,2018-01-08,ORTOPEDIA,3100203,#BOTA WALKER (M) D32,,,2.0,2.0,0,0.0
"COMERCIALIZADORA TYNOR MEXICO, S.A. DE C.V.",258742.0,2018-01-15,2018-01-22,52886.0,2018-01-15,ORTOPEDIA,3100207,#FAJA SACROLUMBAR SENCILLA XL TYNOR A-08,,,3.0,3.0,0,0.0
"COMERCIALIZADORA TYNOR MEXICO, S.A. DE C.V.",259225.0,2018-01-22,2018-01-29,53006.0,2018-01-22,ORTOPEDIA,3100202,#BOTA WALKER (CH) TYNOR D32,,,2.0,2.0,0,0.0
"COMERCIALIZADORA TYNOR MEXICO, S.A. DE C.V.",259225.0,2018-01-22,2018-01-29,53006.0,2018-01-22,ORTOPEDIA,3100196,#FAJA SACROLUMBAR SENCILLA M TYNOR A-08,,,3.0,3.0,0,0.0
"COMERCIALIZADORA TYNOR MEXICO, S.A. DE C.V.",259225.0,2018-01-22,2018-01-29,53006.0,2018-01-22,ORTOPEDIA,3100207,#FAJA SACROLUMBAR SENCILLA XL TYNOR A-08,,,3.0,3.0,0,0.0
"COMERCIALIZADORA TYNOR MEXICO, S.A. DE C.V.",271582.0,2018-07-02,2018-07-09,56063.0,2018-07-02,ORTOPEDIA,3100204,#BOTA WALKER (G) TYNOR D32,,,1.0,1.0,0,0.0
"COMERCIALIZADORA TYNOR MEXICO, S.A. DE C.V.",271582.0,2018-07-02,2018-07-09,56063.0,2018-07-02,ORTOPEDIA,3100203,#BOTA WALKER (M) D32,,,3.0,3.0,0,0.0
"COMERCIALIZADORA TYNOR MEXICO, S.A. DE C.V.",284713.0,2018-12-10,2018-12-17,59050.0,2018-12-10,ORTOPEDIA,3100201,#FAJA SACROLUMBAR G REFORZADA TYNOR A-04,,,1.0,1.0,0,0.0
CONTROLADORA DE FARMACIAS S.A.P.I. DE CV (GRUPO FARMATODO),282337.0,2018-11-07,2018-11-09,58495.0,2018-11-07,MEDICAMENTOS,3300627,NEPRO HP 236 ML VAINILLA,,,15.0,15.0,0,0.0
CONTROLADORA DE FARMACIAS S.A.P.I. DE CV (GRUPO FARMATODO),282495.0,2018-11-09,2018-11-10,58525.0,2018-11-09,MEDICAMENTOS,3302307,FIRAC PLUS 100MG AMP (CLONIXINATO LISINA/PARGEVER),,,24.0,12.0,0,0.0
CONTROLADORA DE FARMACIAS S.A.P.I. DE CV (GRUPO FARMATODO),282751.0,2018-11-12,2018-11-13,58545.0,2018-11-12,MEDICAMENTOS,3302307,FIRAC PLUS 100MG AMP (CLONIXINATO LISINA/PARGEVER),,,12.0,9.0,0,0.0
CONTROLADORA DE FARMACIAS S.A.P.I. DE CV (GRUPO FARMATODO),285658.0,2018-12-21,2018-12-24,59302.0,2018-12-21,MEDICAMENTOS,3301808,ADALAT CC (NIFEDIPINO) 30MG TAB C/30,,,3.0,1.0,0,0.0
"DISEÑO Y DESARROLLO MEDICO, S.A. DE C.V. (DDM)",275302.0,2018-08-13,2018-08-20,56879.0,2018-08-13,MATERIAL DE CURACION,1901402,#BIOVAC 10MM BOLSA MD1105,,,3.0,3.0,0,0.0
"DISTRIBUCION ESPECIALIZADA DE MEDICAMENTOS, S.A. DE C.V. (DEMSA)",268989.0,2018-05-29,2018-06-05,55462.0,2018-05-29,MEDICAMENTOS,3301386,PROFENID IV (KETOPROFENO) 100MG FAM,,,60.0,60.0,0,0.0
"DISTRIBUCION ESPECIALIZADA DE MEDICAMENTOS, S.A. DE C.V. (DEMSA)",277680.0,2018-09-12,2018-09-13,57519.0,2018-09-12,MEDICAMENTOS,1000330,GI VANCOMICINA IV 500MG FAM,,,20.0,20.0,0,0.0
"DISTRIBUCION ESPECIALIZADA DE MEDICAMENTOS, S.A. DE C.V. (DEMSA)",279745.0,2018-10-09,2018-10-10,57974.0,2018-10-09,MEDICAMENTOS,3600088,LIBERTRIM 50MG/5ML AMP (TRIMEBUTINA),,,60.0,60.0,0,0.0
"DISTRIBUCION ESPECIALIZADA DE MEDICAMENTOS, S.A. DE C.V. (DEMSA)",282273.0,2018-11-06,2018-11-07,0.0,,MEDICAMENTOS,1000330,GI VANCOMICINA IV 500MG FAM,,,0.0,20.0,0,0.0
"DISTRIBUIDORA DE EQUIPO MEDICO ESPECIALIZADO, S.A. DE C.V. (DEMESA)",259671.0,2018-01-29,2018-02-06,53149.0,2018-01-29,MATERIAL DE CURACION,1900223,#SONDA FOLEY SILIC 18FR G5 2V 14218 COOCK,,,5.0,5.0,0,0.0
"DISTRIBUIDORA DE EQUIPO MEDICO ESPECIALIZADO, S.A. DE C.V. (DEMESA)",261577.0,2018-02-19,2018-02-26,53577.0,2018-02-19,MATERIAL DE CURACION,1900223,#SONDA FOLEY SILIC 18FR G5 2V 14218 COOCK,,,3.0,3.0,0,0.0
"DISTRIBUIDORA DE EQUIPO MEDICO ESPECIALIZADO, S.A. DE C.V. (DEMESA)",269443.0,2018-06-04,2018-06-05,55539.0,2018-06-04,MATERIAL DE CURACION,1900778,#SONDA FOLEY SILASTIC 20FR G5 2V (VERDE),,,2.0,2.0,0,0.0
"DISTRIBUIDORA DE EQUIPO MEDICO ESPECIALIZADO, S.A. DE C.V. (DEMESA)",281744.0,2018-10-29,2018-11-05,58333.0,2018-10-29,MATERIAL DE CURACION,1900742,#SONDA FOLEY SILIC 14FR G5 2V 19214 COOCK (ANTES ROCHESTER),,,5.0,5.0,0,0.0
DISTRIBUIDORA MEDICA ANTENA S.A DE C.V.,264617.0,2018-04-03,2018-04-04,54366.0,2018-04-03,MEDICAMENTOS,3600139,AMIKAR (AC AMINOCAPROICO) 5G/20ML FAM,,,10.0,25.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,257993.0,2018-01-04,2018-01-08,52722.0,2018-01-03,MEDICAMENTOS,1000260,GI TRIMETOPRIMA/SULFAMETOXAZOL 160MG/800MG C/14TAB,A-18581,2018-01-04,7.0,7.0,5,71.43
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,257993.0,2018-01-04,2018-01-08,52722.0,2018-01-03,MEDICAMENTOS,1000260,GI TRIMETOPRIMA/SULFAMETOXAZOL 160MG/800MG C/14TAB,A-18603,2018-01-06,7.0,7.0,2,28.57
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258001.0,2018-01-04,2018-01-05,52731.0,2018-01-04,MEDICAMENTOS,1000121,GI MEROPENEM 500MG FAM,,,20.0,20.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258001.0,2018-01-04,2018-01-05,52731.0,2018-01-04,MEDICAMENTOS,1000069,GI METOCLOPRAMIDA 10MG/2ML AMP,,,50.0,54.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258001.0,2018-01-04,2018-01-05,52731.0,2018-01-04,MEDICAMENTOS,1000060,GI OMEPRAZOL 40MG/10ML AMP,,,120.0,120.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258001.0,2018-01-04,2018-01-05,52731.0,2018-01-04,MEDICAMENTOS,1000187,GI ONDANSETRON 4MG/2ML AMP,,,20.0,20.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258001.0,2018-01-04,2018-01-05,52731.0,2018-01-04,MEDICAMENTOS,1000210,GI ONDANSETRON 8MG/4ML AMP,,,45.0,45.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258001.0,2018-01-04,2018-01-05,52731.0,2018-01-04,MEDICAMENTOS,1000201,GI PIPERACILINA/TAZOBACTAM 4G/500MG FAM,,,20.0,20.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258001.0,2018-01-04,2018-01-05,52731.0,2018-01-04,MEDICAMENTOS,1000097,GI PROPOFOL 200MG/20ML AMP,,,20.0,20.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258001.0,2018-01-04,2018-01-05,52731.0,2018-01-04,MEDICAMENTOS,1000055,GI RANITIDINA 50MG/2ML AMP,,,20.0,20.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258001.0,2018-01-04,2018-01-05,52731.0,2018-01-04,MEDICAMENTOS,1000209,GI TRAMADOL 100MG/2ML AMP,,,40.0,40.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258354.0,2018-01-10,2018-01-15,52827.0,2018-01-10,MEDICAMENTOS,1000201,GI PIPERACILINA/TAZOBACTAM 4G/500MG FAM,A-18694,2018-01-11,30.0,30.0,22,73.33
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258354.0,2018-01-10,2018-01-15,52827.0,2018-01-10,MEDICAMENTOS,1000201,GI PIPERACILINA/TAZOBACTAM 4G/500MG FAM,A-18716,2018-01-12,30.0,30.0,8,26.67
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258672.0,2018-01-15,2018-01-16,52904.0,2018-01-15,MEDICAMENTOS,4200005,SMOF KABIVEN 1600KCAL CENTRAL (TRICAMARA NUCRION PARENTERAL),A-18748,2018-01-15,8.0,8.0,2,25.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258672.0,2018-01-15,2018-01-16,52904.0,2018-01-15,MEDICAMENTOS,4200005,SMOF KABIVEN 1600KCAL CENTRAL (TRICAMARA NUCRION PARENTERAL),A-18793,2018-01-16,8.0,8.0,6,75.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258962.0,2018-01-18,2018-01-22,0.0,,MEDICAMENTOS,3800051,AGUA P/IRRIGACION 500ML PISA 4255,,,0.0,144.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258962.0,2018-01-18,2018-01-22,0.0,,MEDICAMENTOS,3800023,FISIOLOGICA 1000ML BOLSA BAXTER,,,0.0,144.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258962.0,2018-01-18,2018-01-22,0.0,,MEDICAMENTOS,3800069,FISIOLOGICA 250 ML FCO. PISA,,,0.0,240.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258962.0,2018-01-18,2018-01-22,0.0,,MEDICAMENTOS,3800068,FISIOLOGICA 50 ML FCO. PISA,,,0.0,600.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258962.0,2018-01-18,2018-01-22,0.0,,MEDICAMENTOS,3800066,FISIOLOGICA 500ML FCO. PISA,,,0.0,600.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258962.0,2018-01-18,2018-01-22,0.0,,MEDICAMENTOS,3800064,HARTMAN 1000ML FRASCO PISA,,,0.0,96.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258962.0,2018-01-18,2018-01-22,0.0,,MEDICAMENTOS,3800022,HARTMAN 250ML FRASCO 4000084 PISA,,,0.0,12.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258962.0,2018-01-18,2018-01-22,0.0,,MEDICAMENTOS,3800019,HARTMAN 500ML BOLSA BAXTER,,,0.0,90.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258962.0,2018-01-18,2018-01-22,0.0,,MEDICAMENTOS,3800010,MIXTA 1000ML FRASCO 1000ML,,,0.0,54.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258972.0,2018-01-18,2018-01-19,52965.0,2018-01-18,MEDICAMENTOS,3600097,GI DOPAMINA 200MG/5ML AMP,A-18877,2018-01-18,15.0,15.0,10,66.67
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,258972.0,2018-01-18,2018-01-19,52965.0,2018-01-18,MEDICAMENTOS,3600097,GI DOPAMINA 200MG/5ML AMP,A-18918,2018-01-19,15.0,15.0,5,33.33
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,259093.0,2018-01-22,2018-01-29,53001.0,2018-01-22,MEDICAMENTOS,3800068,FISIOLOGICA 50 ML FCO. PISA,A-19037,2018-01-25,600.0,600.0,400,66.67
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,259093.0,2018-01-22,2018-01-29,53001.0,2018-01-22,MEDICAMENTOS,3800068,FISIOLOGICA 50 ML FCO. PISA,A-19077,2018-01-25,600.0,600.0,200,33.33
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,259253.0,2018-01-22,2018-01-29,53014.0,2018-01-22,MATERIAL DE CURACION,1901087,#BOLSA P/BOMBA APPLIX A GRAVEDAD 7902131,,,10.0,10.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,259344.0,2018-01-24,2018-01-25,53074.0,2018-01-24,MEDICAMENTOS,1000244,GI CLARITROMICINA 500MG TAB C/10,,,2.0,2.0,0,0.0
DISTRIBUIDORA MEDICA CODIMED S.A. DE C.V.,259344.0,2018-01-24,2018-01-25,53074.0,2018-01-24,MEDICAMENTOS,1000181,GI IBUPROFENO 600MG TAB C/20 TAB,,,15.0,15.0,0,0.0
